Year,Team,BPIO,BPID
2010,Austin Peay,2.1,-3.0
2010,North Texas,2.1,-3.1
2010,UMass,2.3,-3.2
2010,The Citadel,-7.6,6.6
2010,Arkansas State,-1.5,0.5
2010,Radford,-0.4,-0.7
2010,Eastern Illinois,-2.3,1.3
2010,Rider,1.8,-3.0
2010,CSU Fullerton,3.8,-5.0
2010,San Francisco,1.4,-2.8
2010,Loyola (MD),-2.2,0.7
2010,Central Michigan,-3.5,1.9
2010,Seattle U,6.7,-8.4
2010,Maine,-5.0,3.3
2010,Mercer,5.3,-7.2
2010,Montana State,-2.7,0.8
2010,Valparaiso,4.1,-6.1
2010,Portland State,6.6,-8.6
2010,South Dakota State,3.5,-5.5
2010,San José State,3.3,-5.3
2010,Georgia State,-5.2,3.1
2010,Eastern Michigan,-2.6,0.5
2010,Canisius,-1.1,-1.0
2010,TCU,-0.9,-1.3
2010,UNC Wilmington,-1.0,-1.4
2010,Manhattan,-2.9,0.5
2010,San Diego,-5.0,2.5
2010,James Madison,-1.0,-1.5
2010,Purdue Fort Wayne,-2.1,-0.6
2010,Winthrop,-8.6,5.8
2010,Youngstown State,-1.5,-1.4
2010,Bowling Green,-4.8,1.8
2010,South Dakota,4.4,-7.5
2010,Tulane,-4.5,1.4
2010,Loyola Chicago,-3.9,0.8
2010,UC Riverside,-6.4,3.3
2010,Louisiana,-2.5,-0.7
2010,Florida Atlantic,2.6,-5.8
2010,Arkansas-Pine Bluff,-4.9,1.6
2010,Ball State,-7.5,4.1
2010,North Dakota State,0.4,-3.9
2010,Tennessee Tech,3.9,-7.5
2010,Northern Arizona,-0.5,-3.2
2010,CSU Northridge,1.8,-5.5
2010,Hampton,-5.1,1.4
2010,Wyoming,1.3,-5.1
2010,Evansville,-3.2,-0.6
2010,Hawai'i,-5.5,1.6
2010,Lafayette,1.4,-5.5
2010,Holy Cross,-0.6,-3.6
2010,New Hampshire,-6.9,2.6
2010,Bucknell,-3.2,-1.2
2010,UC Davis,-1.4,-3.1
2010,South Alabama,-3.7,-0.9
2010,Texas State,4.1,-8.7
2010,Liberty,-3.9,-1.0
2010,Chattanooga,-1.1,-4.0
2010,Northern Illinois,-0.3,-4.8
2010,Jacksonville State,-1.7,-3.4
2010,Furman,-1.9,-3.3
2010,Charleston Southern,-3.8,-1.5
2010,Army,-10.8,5.5
2010,Samford,-11.1,5.7
2010,Sacred Heart,1.6,-7.1
2010,Yale,-2.6,-3.0
2010,Texas Southern,-3.8,-1.8
2010,Western Illinois,-11.0,5.4
2010,Elon,-2.1,-3.6
2010,Tennessee State,-1.1,-4.6
2010,Bethune-Cookman,-9.5,3.7
2010,Cal Poly,-0.3,-5.5
2010,UT Arlington,0.1,-6.0
2010,Rice,-5.0,-1.0
2010,Norfolk State,1.3,-7.3
2010,Santa Clara,-5.6,-0.5
2010,UC Irvine,-3.3,-2.8
2010,Long Island University,0.1,-6.3
2010,Towson,1.2,-7.5
2010,Prairie View A&M,-7.6,1.3
2010,UIC,-4.1,-2.2
2010,UNC Greensboro,-3.3,-3.1
2010,High Point,-1.3,-5.2
2010,East Carolina,-0.4,-6.1
2010,Colgate,-2.4,-4.1
2010,Little Rock,-2.0,-4.6
2010,UNC Asheville,1.4,-8.1
2010,Delaware State,-12.0,5.2
2010,Kansas City,-4.1,-2.9
2010,South Carolina State,-2.5,-4.5
2010,McNeese,-3.4,-3.6
2010,Navy,-0.2,-6.9
2010,Columbia,-8.5,1.4
2010,North Carolina A&T,-2.8,-4.3
2010,Air Force,-11.6,4.5
2010,Delaware,-3.4,-3.7
2010,North Florida,-9.2,2.0
2010,American University,-7.0,-0.3
2010,Albany,-5.8,-1.6
2010,Monmouth,-5.7,-1.6
2010,Kennesaw State,-4.3,-3.1
2010,Jackson State,-6.6,-0.9
2010,UL Monroe,-3.0,-4.5
2010,Lamar,-3.5,-4.1
2010,Brown,-1.8,-5.8
2010,Georgia Southern,0.9,-8.5
2010,South Carolina Upstate,-7.9,0.0
2010,Nicholls,-5.1,-2.8
2010,Binghamton,-7.6,-0.5
2010,Central Connecticut,-7.5,-0.6
2010,Idaho State,-2.8,-5.3
2010,Florida Gulf Coast,-4.5,-3.8
2010,CSU Bakersfield,-3.4,-5.1
2010,St. Francis (BKN),-8.6,0.1
2011,Ohio State,11.4,10.4
2011,Kansas,13.3,6.5
2011,Duke,13.7,5.3
2011,Pittsburgh,8.8,9.4
2011,Kentucky,8.7,7.8
2011,Purdue,7.1,9.1
2011,Texas,8.0,8.1
2011,Wisconsin,3.7,12.2
2011,San Diego State,6.6,9.0
2011,North Carolina,11.2,4.2
2011,Florida,8.6,6.5
2011,Syracuse,7.2,7.3
2011,BYU,13.2,0.8
2011,Notre Dame,9.8,4.2
2011,Louisville,8.0,5.9
2011,Belmont,9.1,4.4
2011,Washington,13.7,-0.2
2011,West Virginia,4.5,8.4
2011,Arizona,9.7,3.0
2011,Vanderbilt,9.1,3.5
2011,Illinois,6.4,6.1
2011,Villanova,7.1,5.2
2011,UNLV,5.9,6.4
2011,Maryland,8.2,3.6
2011,UConn,6.8,5.0
2011,Georgetown,5.8,5.9
2011,Missouri,11.1,0.4
2011,Utah State,2.9,8.5
2011,George Mason,5.5,5.6
2011,Marquette,8.1,3.0
2011,Cincinnati,2.1,8.8
2011,Kansas State,5.8,5.1
2011,Temple,4.1,6.6
2011,Clemson,2.3,8.4
2011,Florida State,2.3,8.3
2011,Xavier,5.2,5.3
2011,Wichita State,5.5,4.9
2011,Saint Mary's,8.0,2.3
2011,Gonzaga,7.9,2.4
2011,Richmond,2.8,7.4
2011,Butler,5.0,5.2
2011,Virginia Tech,3.5,6.4
2011,Texas A&M,1.1,8.7
2011,Michigan State,4.6,5.0
2011,Alabama,-0.1,9.8
2011,Old Dominion,-0.5,10.0
2011,Georgia,3.5,5.8
2011,Duquesne,8.3,0.9
2011,Michigan,1.4,7.7
2011,Tennessee,4.4,4.7
2011,Northwestern,6.5,2.4
2011,Washington State,5.6,3.0
2011,St. John's,4.0,4.7
2011,New Mexico,4.8,3.8
2011,VCU,6.6,1.6
2011,Miami,5.4,2.7
2011,Minnesota,3.7,4.3
2011,USC,-0.6,8.4
2011,Ole Miss,7.1,0.7
2011,Seton Hall,2.4,5.4
2011,Missouri State,3.6,4.1
2011,Penn State,-0.4,7.9
2011,Baylor,2.6,4.9
2011,UAB,1.3,6.2
2011,Charleston,7.5,-0.1
2011,Nebraska,-1.6,9.0
2011,Iona,9.1,-1.7
2011,Southern Miss,4.8,2.5
2011,Oakland,13.4,-6.1
2011,Cleveland State,2.1,4.5
2011,Colorado,9.5,-3.1
2011,Boston College,6.4,-0.1
2011,Oklahoma State,2.0,4.2
2011,UCLA,3.3,2.7
2011,Coastal Carolina,4.2,1.6
2011,Memphis,4.5,1.3
2011,UCF,1.2,4.6
2011,Indiana,3.8,2.0
2011,Colorado State,4.1,1.5
2011,Georgia Tech,1.9,3.6
2011,Marshall,4.0,1.5
2011,Wofford,4.7,0.6
2011,Arkansas,3.1,2.2
2011,NC State,4.3,1.0
2011,Iowa State,5.2,0.0
2011,Morehead State,-0.1,5.1
2011,Austin Peay,4.2,0.8
2011,UTEP,2.0,3.0
2011,Harvard,2.2,2.7
2011,Fairfield,-2.6,7.5
2011,Iowa,2.3,2.5
2011,California,5.8,-1.0
2011,East Tennessee State,0.6,4.0
2011,Princeton,0.1,4.6
2011,Rutgers,0.7,3.9
2011,Northern Iowa,-3.1,7.6
2011,Virginia,-3.8,8.3
2011,Drexel,-4.3,8.7
2011,Dayton,0.6,3.8
2011,Valparaiso,3.9,0.5
2011,Stanford,-0.1,4.3
2011,Providence,8.0,-3.9
2011,Murray State,-0.5,4.5
2011,Rider,5.5,-1.6
2011,South Carolina,1.8,2.0
2011,Tulsa,3.1,0.6
2011,Rhode Island,1.4,2.3
2011,Vermont,0.1,3.5
2011,Indiana State,0.1,3.4
2011,Boise State,4.1,-0.6
2011,Bucknell,-0.2,3.5
2011,Creighton,1.6,1.7
2011,James Madison,3.5,-0.4
2011,Long Island University,9.8,-6.7
2011,Kent State,2.2,0.9
2011,Akron,1.2,1.9
2011,Oregon,2.7,0.2
2011,Buffalo,0.2,2.6
2011,Pacific,-2.5,5.1
2011,Northern Arizona,1.4,1.1
2011,Stephen F. Austin,-6.1,8.5
2011,Montana,-3.4,5.8
2011,Davidson,2.4,-0.1
2011,Texas Tech,5.9,-3.7
2011,South Dakota State,8.1,-6.0
2011,Portland,1.6,0.4
2011,Arkansas State,-0.7,2.7
2011,Mississippi State,2.4,-0.4
2011,Saint Louis,-5.0,6.9
2011,Northern Colorado,1.9,-0.1
2011,Lipscomb,5.8,-4.1
2011,Loyola Chicago,0.8,1.0
2011,Detroit Mercy,5.0,-3.4
2011,Saint Peter's,-6.0,7.6
2011,Furman,-1.1,2.7
2011,Arizona State,-2.3,3.9
2011,Wright State,-4.1,5.6
2011,Long Beach State,3.7,-2.4
2011,Oral Roberts,4.1,-2.7
2011,South Florida,-3.7,5.0
2011,Milwaukee,1.8,-0.5
2011,UNC Asheville,2.6,-1.7
2011,IUPUI,1.9,-1.0
2011,UC Santa Barbara,-1.3,2.3
2011,St. Bonaventure,1.3,-0.5
2011,Santa Clara,3.1,-2.3
2011,Ohio,5.3,-4.6
2011,Hofstra,2.9,-2.2
2011,North Texas,5.1,-4.4
2011,East Carolina,0.6,0.0
2011,Weber State,0.3,0.1
2011,Jacksonville,-1.0,1.4
2011,Evansville,-0.9,1.3
2011,Ball State,-1.9,2.3
2011,Robert Morris,-2.2,2.6
2011,UMass,-1.0,1.3
2011,Western Michigan,1.8,-1.6
2011,Oklahoma,-1.0,1.1
2011,Boston University,-1.6,1.7
2011,Utah,0.1,0.0
2011,Rice,-1.0,1.0
2011,Tulane,-1.3,1.3
2011,La Salle,7.6,-7.7
2011,North Dakota State,2.9,-2.9
2011,George Washington,-3.2,3.1
2011,Charleston Southern,2.0,-2.1
2011,Purdue Fort Wayne,1.6,-1.8
2011,Quinnipiac,1.5,-1.7
2011,Lamar,7.6,-7.8
2011,Tennessee Tech,2.9,-3.1
2011,Green Bay,-0.6,0.2
2011,Eastern Kentucky,-2.7,2.3
2011,Central Connecticut,-0.8,0.4
2011,Canisius,-1.2,0.7
2011,Middle Tennessee,-1.6,1.1
2011,Maine,0.3,-0.8
2011,Idaho,-1.2,0.6
2011,Hawai'i,-0.9,0.2
2011,Western Carolina,-0.2,-0.5
2011,New Mexico State,2.0,-2.7
2011,Loyola (MD),-0.2,-0.6
2011,American University,-4.0,3.2
2011,Nicholls,-5.8,4.9
2011,Fresno State,-2.1,1.1
2011,VMI,12.0,-13.0
2011,Oregon State,0.9,-2.0
2011,SMU,-5.7,4.6
2011,Bradley,-1.2,0.1
2011,San Francisco,0.0,-1.3
2011,Sam Houston,-1.6,0.4
2011,San José State,3.0,-4.3
2011,Pennsylvania,-1.4,0.1
2011,Western Kentucky,0.7,-2.1
2011,McNeese,2.4,-3.8
2011,Cal Poly,-9.5,8.1
2011,Florida Atlantic,-1.2,-0.2
2011,TCU,0.0,-1.6
2011,Miami (OH),-1.0,-0.6
2011,Siena,0.3,-2.0
2011,Air Force,-4.2,2.5
2011,Yale,-1.8,0.0
2011,Northeastern,0.4,-2.2
2011,Nevada,0.6,-2.5
2011,Charlotte,0.4,-2.3
2011,Tennessee State,-0.7,-1.4
2011,Lehigh,3.1,-5.2
2011,UC Davis,2.2,-4.4
2011,Little Rock,-1.6,-0.6
2011,LSU,-5.0,2.7
2011,Winthrop,-4.4,2.1
2011,Saint Joseph's,-1.8,-0.6
2011,Cornell,0.1,-2.5
2011,Liberty,-3.6,1.2
2011,Southern Illinois,-5.2,2.8
2011,William & Mary,-2.5,0.0
2011,Delaware,-3.7,1.2
2011,Houston,-0.3,-2.3
2011,Mercer,-1.3,-1.3
2011,Drake,-2.2,-0.4
2011,Utah Valley,0.1,-2.9
2011,Appalachian State,1.8,-4.6
2011,St. Francis (BKN),-2.8,0.1
2011,Illinois State,-5.9,3.1
2011,UC Irvine,4.2,-7.0
2011,SE Louisiana,-1.0,-1.9
2011,Hampton,-4.8,2.0
2011,CSU Northridge,-0.1,-2.9
2011,UNC Wilmington,-4.1,1.1
2011,Auburn,-4.5,1.4
2011,Georgia State,-6.4,3.2
2011,North Florida,-2.0,-1.2
2011,Loyola Marymount,0.6,-3.9
2011,Louisiana,-0.1,-3.3
2011,Savannah State,-8.7,5.3
2011,UT Arlington,-2.4,-1.3
2011,Stony Brook,-7.9,4.2
2011,Columbia,-0.4,-3.2
2011,Holy Cross,-1.8,-2.0
2011,Morgan State,-4.2,0.2
2011,Denver,-9.6,5.6
2011,Chattanooga,0.0,-4.0
2011,Elon,1.5,-5.5
2011,Albany,-5.0,0.7
2011,Presbyterian,-6.2,1.8
2011,Louisiana Tech,-4.5,0.2
2011,Wagner,-1.3,-3.0
2011,Campbell,-4.5,0.0
2011,Pepperdine,0.5,-5.1
2011,Bowling Green,-5.0,0.4
2011,Jackson State,-5.7,1.1
2011,Brown,1.6,-6.3
2011,UTSA,-1.9,-2.9
2011,UIC,-4.4,-0.4
2011,DePaul,1.7,-6.5
2011,Texas State,3.6,-8.5
2011,Wake Forest,0.5,-5.3
2011,Montana State,-2.7,-2.3
2011,Lafayette,-0.4,-4.7
2011,Portland State,1.7,-6.8
2011,Wyoming,-4.0,-1.6
2011,South Alabama,-0.8,-4.8
2011,Youngstown State,-0.4,-5.4
2011,Gardner-Webb,-6.9,1.2
2011,Eastern Washington,-3.4,-2.4
2011,South Dakota,3.8,-9.6
2011,Texas Southern,-6.0,0.1
2011,New Hampshire,-10.2,4.3
2011,CSU Fullerton,1.5,-7.4
2011,Bethune-Cookman,-5.0,-1.0
2011,UC Riverside,-4.2,-1.8
2011,Coppin State,-0.8,-5.3
2011,Delaware State,-7.3,1.0
2011,Florida International,1.2,-7.4
2011,Troy,1.5,-7.9
2011,Mount St. Mary's,-7.3,1.0
2011,Northwestern State,2.4,-8.9
2011,Seattle U,-0.7,-5.8
2011,Northern Illinois,-1.2,-5.3
2011,Eastern Illinois,-8.3,1.7
2011,Jacksonville State,-7.9,1.2
2011,Towson,1.1,-7.8
2011,Hartford,-7.6,0.9
2011,Kansas City,-2.2,-4.6
2011,Army,-3.0,-3.8
2011,Central Michigan,-9.3,2.5
2011,Sacred Heart,-3.3,-3.6
2011,The Citadel,-5.5,-1.6
2011,Southeast Missouri State,-2.6,-4.5
2011,Eastern Michigan,-7.6,0.4
2011,North Carolina A&T,-0.2,-7.0
2011,Fordham,-3.5,-3.9
2011,Florida Gulf Coast,-3.4,-4.2
2011,North Carolina Central,-3.5,-4.3
2011,Norfolk State,-0.9,-6.9
2011,Navy,-3.4,-4.4
2011,Monmouth,-8.3,0.3
2011,NJIT,-6.5,-1.6
2011,UT Martin,-1.6,-6.5
2011,UNC Greensboro,1.0,-9.1
2011,Niagara,-5.6,-2.7
2012,Ohio State,10.8,9.5
2012,Kentucky,11.9,8.2
2012,Syracuse,9.9,8.4
2012,Michigan State,7.7,9.9
2012,North Carolina,13.7,3.4
2012,Wisconsin,0.3,15.9
2012,Kansas,8.2,7.8
2012,Missouri,14.0,1.9
2012,Florida,11.8,3.5
2012,Indiana,12.1,3.2
2012,Duke,12.2,2.6
2012,Memphis,9.5,5.1
2012,Wichita State,8.9,5.3
2012,Marquette,10.5,3.2
2012,Georgetown,3.8,9.7
2012,New Mexico,6.4,7.1
2012,Baylor,8.9,3.8
2012,Vanderbilt,8.2,4.4
2012,Louisville,3.4,8.9
2012,Saint Louis,1.6,10.4
2012,Florida State,4.5,7.4
2012,Purdue,7.5,4.1
2012,Belmont,10.6,0.9
2012,Alabama,-0.3,11.5
2012,Gonzaga,6.8,4.4
2012,Kansas State,5.8,5.2
2012,Virginia,-3.1,14.0
2012,Saint Mary's,6.4,4.5
2012,Michigan,2.6,8.1
2012,Texas,6.3,4.0
2012,California,4.8,5.3
2012,UNLV,8.9,1.2
2012,Creighton,11.3,-1.3
2012,Cincinnati,3.2,6.8
2012,West Virginia,7.3,2.6
2012,Temple,8.3,1.5
2012,Iowa State,7.2,2.6
2012,Iona,13.1,-3.5
2012,UConn,4.3,5.2
2012,BYU,7.9,1.0
2012,NC State,7.3,1.5
2012,Long Beach State,5.4,3.4
2012,Pittsburgh,4.7,3.6
2012,Miami,5.0,3.2
2012,VCU,2.7,5.5
2012,Drexel,-1.3,9.4
2012,Harvard,-0.6,8.7
2012,Davidson,8.2,-0.2
2012,Xavier,5.2,2.8
2012,Minnesota,4.1,3.9
2012,Arizona,3.3,4.5
2012,Seton Hall,2.2,5.4
2012,Notre Dame,1.4,6.2
2012,La Salle,5.1,2.5
2012,Middle Tennessee,2.9,4.6
2012,Murray State,2.6,4.9
2012,St. Bonaventure,3.5,3.9
2012,Southern Miss,4.7,2.5
2012,Saint Joseph's,5.6,1.4
2012,Virginia Tech,0.4,6.5
2012,Mississippi State,6.0,0.9
2012,Ohio,2.3,4.6
2012,Oregon,7.0,-0.1
2012,Clemson,-0.2,7.1
2012,Northwestern,5.5,1.2
2012,South Dakota State,7.0,-0.3
2012,New Mexico State,8.3,-1.6
2012,UMass,9.2,-2.5
2012,Tennessee,2.1,4.5
2012,UCLA,1.7,4.9
2012,San Diego State,3.1,3.4
2012,South Florida,-5.2,11.7
2012,Cleveland State,0.5,6.0
2012,Akron,4.7,1.7
2012,Stanford,4.3,1.9
2012,Illinois,0.9,5.2
2012,Northern Iowa,-0.7,6.7
2012,Dayton,5.6,0.4
2012,Lehigh,6.1,-0.1
2012,Washington,7.3,-1.6
2012,Buffalo,4.9,0.7
2012,Denver,0.5,5.1
2012,Marshall,4.8,0.7
2012,Georgia State,-0.9,6.3
2012,Ole Miss,1.9,3.4
2012,Oral Roberts,3.9,1.3
2012,UNC Asheville,8.6,-3.6
2012,Bucknell,0.7,4.3
2012,Colorado,1.3,3.7
2012,Wyoming,-5.6,10.6
2012,UT Arlington,5.8,-1.0
2012,Montana,-0.6,5.3
2012,UC Santa Barbara,3.8,0.9
2012,Colorado State,4.5,0.2
2012,Wagner,3.2,1.4
2012,Tulsa,1.5,3.1
2012,Weber State,6.7,-2.1
2012,LSU,0.0,4.6
2012,Lamar,4.1,0.4
2012,Oregon State,9.3,-4.8
2012,Villanova,6.3,-1.9
2012,Iowa,6.8,-2.4
2012,Missouri State,-0.2,4.5
2012,Old Dominion,-0.8,5.0
2012,Oklahoma,3.0,1.3
2012,Fairfield,-2.1,6.2
2012,Illinois State,2.1,1.8
2012,Richmond,1.7,2.3
2012,George Mason,3.0,0.9
2012,Oklahoma State,2.6,1.2
2012,Washington State,1.8,2.1
2012,Mercer,-0.3,4.0
2012,Georgia,-2.2,5.9
2012,Stony Brook,-2.4,6.0
2012,Butler,-2.2,5.8
2012,Princeton,-0.2,3.8
2012,Duquesne,5.0,-1.5
2012,Kent State,2.9,0.4
2012,Arkansas,5.0,-1.7
2012,Vermont,-0.4,3.5
2012,UCF,-0.3,3.4
2012,Robert Morris,-0.6,3.6
2012,Bowling Green,-0.4,3.4
2012,Detroit Mercy,4.7,-1.9
2012,Manhattan,2.5,0.3
2012,Texas A&M,-4.3,7.0
2012,Rutgers,-0.2,2.8
2012,Boise State,1.2,1.2
2012,North Dakota State,3.8,-1.5
2012,Loyola (MD),-0.8,3.0
2012,UAB,-4.7,6.9
2012,UTEP,-2.0,4.1
2012,Nevada,0.5,1.6
2012,Providence,3.4,-1.3
2012,Utah State,-0.6,2.5
2012,Cal Poly,-3.5,5.5
2012,East Carolina,0.3,1.6
2012,Loyola Marymount,1.7,0.3
2012,Maryland,3.2,-1.3
2012,Evansville,5.5,-3.7
2012,Georgia Tech,-4.0,5.8
2012,San Francisco,5.1,-3.4
2012,Yale,1.0,0.7
2012,Valparaiso,0.8,0.9
2012,Coastal Carolina,0.9,0.7
2012,Nebraska,-2.8,4.5
2012,UTSA,3.9,-2.3
2012,Pennsylvania,-1.8,3.3
2012,East Tennessee State,-1.8,3.3
2012,Charleston,2.2,-0.9
2012,Auburn,-2.8,4.0
2012,Stephen F. Austin,-8.2,9.4
2012,Drake,-0.2,1.3
2012,TCU,5.5,-4.3
2012,Long Island University,10.0,-9.0
2012,CSU Fullerton,6.3,-5.5
2012,Charlotte,0.4,0.4
2012,Rice,1.2,-0.4
2012,Indiana State,-1.7,2.5
2012,South Carolina,-2.8,3.6
2012,South Carolina Upstate,1.2,-0.5
2012,North Texas,1.0,-0.4
2012,Penn State,-2.8,3.4
2012,Tulane,-2.8,3.4
2012,North Carolina Central,-0.9,1.5
2012,Quinnipiac,1.3,-0.7
2012,St. John's,0.5,0.0
2012,DePaul,7.7,-7.3
2012,Savannah State,-5.7,6.1
2012,Charleston Southern,4.4,-4.0
2012,Milwaukee,-2.7,3.0
2012,Idaho,0.4,-0.3
2012,Oakland,10.0,-9.9
2012,Western Michigan,2.0,-2.0
2012,Ball State,-4.2,4.2
2012,Portland State,5.1,-5.6
2012,Boston University,-3.1,2.6
2012,Tennessee State,-0.1,-0.6
2012,George Washington,-3.6,2.8
2012,Youngstown State,0.1,-0.9
2012,Albany,4.0,-4.8
2012,Delaware,1.9,-2.7
2012,American University,-4.1,3.1
2012,Wake Forest,1.0,-2.0
2012,Louisiana,-0.7,-0.4
2012,Toledo,1.2,-2.3
2012,Eastern Washington,1.6,-2.8
2012,Columbia,-3.6,2.5
2012,Air Force,-5.0,3.8
2012,Campbell,3.6,-4.9
2012,Houston,3.1,-4.5
2012,Green Bay,-1.3,-0.2
2012,Fresno State,-2.3,0.8
2012,Hofstra,-1.8,0.3
2012,Northeastern,-2.4,0.8
2012,Florida Gulf Coast,2.4,-4.0
2012,Western Carolina,1.1,-2.8
2012,North Florida,0.2,-1.9
2012,SMU,-7.2,5.4
2012,Austin Peay,2.0,-3.9
2012,Miami (OH),-5.7,3.7
2012,Central Connecticut,0.5,-2.6
2012,Chattanooga,0.0,-2.3
2012,Cornell,-0.7,-1.6
2012,High Point,0.9,-3.2
2012,Little Rock,-3.7,1.4
2012,Wofford,-5.1,2.8
2012,Arkansas State,-3.2,0.7
2012,Rhode Island,2.6,-5.1
2012,Norfolk State,-1.1,-1.3
2012,St. Francis (BKN),-0.9,-1.6
2012,Morehead State,-6.7,4.0
2012,Tennessee Tech,1.8,-4.5
2012,Holy Cross,-2.1,-0.5
2012,Western Illinois,-9.2,6.5
2012,Louisiana Tech,-0.2,-2.5
2012,IUPUI,3.2,-5.9
2012,McNeese,-3.0,0.2
2012,Rider,3.2,-6.1
2012,Florida Atlantic,-0.4,-2.7
2012,Lipscomb,2.3,-5.4
2012,Delaware State,-2.9,-0.2
2012,UC Riverside,-6.4,3.3
2012,USC,-11.3,8.0
2012,Utah Valley,-1.4,-1.9
2012,Wright State,-7.4,4.1
2012,Furman,-4.2,0.9
2012,Sacred Heart,1.6,-5.1
2012,Georgia Southern,-2.0,-1.5
2012,Elon,0.4,-3.9
2012,Presbyterian,-4.1,0.6
2012,Northwestern State,-0.1,-3.5
2012,Siena,-4.3,0.6
2012,South Alabama,-2.1,-1.6
2012,James Madison,-0.5,-3.3
2012,UNC Wilmington,-1.4,-2.4
2012,Seattle U,2.6,-6.5
2012,Western Kentucky,-2.6,-1.3
2012,Eastern Kentucky,-3.2,-0.7
2012,Winthrop,-5.4,1.5
2012,Gardner-Webb,-4.8,0.8
2012,Southeast Missouri State,0.4,-4.5
2012,Texas State,3.6,-7.6
2012,Maine,-0.9,-3.2
2012,Arizona State,-4.8,0.7
2012,Appalachian State,-1.1,-3.1
2012,Northern Colorado,2.8,-7.0
2012,Mississippi Valley State,-0.1,-4.2
2012,Jacksonville,-1.7,-2.6
2012,VMI,7.5,-11.9
2012,Niagara,1.7,-6.0
2012,Hawai'i,0.3,-4.9
2012,Lafayette,1.5,-6.2
2012,Southern Illinois,-3.5,-1.3
2012,Morgan State,-2.0,-2.9
2012,San Diego,-1.8,-3.1
2012,Texas Tech,-5.7,0.6
2012,CSU Bakersfield,-2.4,-2.8
2012,Santa Clara,0.7,-5.9
2012,Florida International,-3.4,-1.9
2012,Stetson,2.2,-7.4
2012,Central Michigan,-4.6,-0.9
2012,Montana State,-0.6,-5.1
2012,Hampton,-4.6,-1.1
2012,Jacksonville State,-5.6,-0.1
2012,Southern Utah,-4.8,-1.0
2012,Marist,0.1,-5.9
2012,North Dakota,-3.5,-2.4
2012,Troy,2.6,-8.5
2012,Texas Southern,-6.6,0.7
2012,San José State,-0.8,-5.2
2012,Samford,-3.1,-2.9
2012,Bethune-Cookman,-5.3,-0.9
2012,Bradley,-3.3,-2.9
2012,NJIT,-4.0,-2.2
2012,Fordham,-4.5,-1.8
2012,Liberty,-1.4,-4.8
2012,New Hampshire,-7.8,1.5
2012,Eastern Michigan,-13.0,6.6
2012,Army,-2.1,-4.4
2012,Coppin State,3.1,-9.6
2012,North Carolina A&T,-1.1,-5.4
2012,Loyola Chicago,-9.2,2.6
2012,Sam Houston,-10.6,4.1
2012,Portland,-0.7,-6.0
2012,UC Irvine,-1.8,-4.9
2012,UNC Greensboro,0.8,-7.6
2012,Pepperdine,-8.7,1.6
2012,Sacramento State,-4.3,-2.9
2012,Pacific,-6.5,-0.9
2012,Eastern Illinois,-3.5,-4.0
2012,Boston College,-5.1,-2.3
2012,SE Louisiana,-10.1,2.6
2012,Purdue Fort Wayne,-1.1,-6.4
2012,William & Mary,-5.9,-1.7
2012,South Dakota,0.0,-7.7
2012,Monmouth,-1.1,-6.6
2012,Dartmouth,-10.2,2.1
2012,Mount St. Mary's,-8.0,-0.4
2012,Idaho State,-2.4,-6.1
2013,Florida,7.5,13.7
2013,Louisville,10.7,10.3
2013,Indiana,13.8,6.4
2013,Duke,12.2,5.4
2013,Kansas,9.8,6.9
2013,Pittsburgh,4.5,12.2
2013,Gonzaga,10.7,5.6
2013,Michigan,11.0,5.0
2013,Ohio State,7.5,8.5
2013,Wisconsin,2.4,13.2
2013,Syracuse,7.0,8.0
2013,Arizona,9.2,5.3
2013,VCU,9.6,4.8
2013,Georgetown,2.4,11.7
2013,Miami,4.7,9.3
2013,Michigan State,3.9,10.0
2013,Minnesota,6.3,7.2
2013,Creighton,8.9,4.5
2013,Missouri,10.2,2.2
2013,Middle Tennessee,3.9,8.2
2013,Saint Mary's,8.6,3.5
2013,Kentucky,7.8,4.2
2013,Wichita State,4.4,7.5
2013,Marquette,6.1,5.3
2013,Ole Miss,10.3,1.2
2013,Cincinnati,2.9,8.5
2013,Iowa State,12.6,-1.3
2013,Baylor,9.0,2.3
2013,NC State,11.6,-0.4
2013,Kansas State,3.8,7.4
2013,North Carolina,10.0,1.1
2013,Oklahoma State,5.4,5.6
2013,UNLV,5.6,5.2
2013,San Diego State,4.8,6.0
2013,Saint Louis,1.9,8.8
2013,Notre Dame,6.1,4.6
2013,Belmont,7.1,3.5
2013,Memphis,6.9,3.5
2013,California,5.5,4.9
2013,Virginia,-1.7,11.8
2013,New Mexico,3.9,6.0
2013,Iowa,5.4,4.5
2013,Oklahoma,6.4,3.3
2013,Davidson,6.4,3.3
2013,Butler,4.4,4.6
2013,Oregon,6.4,2.4
2013,UConn,5.7,3.1
2013,Boise State,6.7,1.9
2013,Colorado State,6.7,1.8
2013,La Salle,6.2,2.3
2013,Southern Miss,4.9,3.4
2013,Maryland,4.3,3.9
2013,Illinois,4.3,3.9
2013,Akron,4.5,3.6
2013,Bucknell,0.5,7.4
2013,Alabama,-1.8,9.8
2013,Temple,6.2,1.8
2013,Denver,-2.2,10.1
2013,Villanova,4.1,3.7
2013,UCLA,8.8,-1.0
2013,North Dakota State,-1.3,9.0
2013,Northern Iowa,1.4,6.1
2013,Illinois State,8.0,-0.6
2013,Arkansas,7.9,-0.6
2013,Stanford,4.5,2.8
